"Timestamp","If you would like to continue , please confirm the agreement and check the box below. [I hereby agree to provide honest, precise and complete information to the survey.]","Gender ","Completed age","Your current address (district only)"," Education ","Your occupation.","How long have you been using mobile payment service of the Company?","Do you agree or disagree with the following statements. [Generally I've a positive view in technology.]","Do you agree or disagree with the following statements. [I'm a technology friendly.]","Do you agree or disagree with the following statements. [When using technology, I often feel overwhelmed.]","Do you agree or disagree with the following statements. [I don't trust technology]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Mobile payment services are Easy to use.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Requires fewer step to accomplish the transaction.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Easy and quick recovery from mistake.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease to integrate with bank accounts.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease of personal details verification.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Cost of using Mobile Payment services is reasonable.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Feeling superiority of using services.]","Please check the box based on your experience on value investment in mobile payment service of the company. [The use of Mobile payment service is a good deal.]","Please check the box on your experience on customer support part. [Customer support in resolving your issues is good.]","Please check the box on your experience on customer support part. [Customer support team answer your inquiry promptly.]","Please check the box on your experience on customer support part. [Customer service agents are polite.]","Please check the box on your experience on customer support part. [Customer service opening hour is convenient.]","Please check the box on your experience on customer support part. [Customer service agents are friendly]","Please check the box on your experience on security part. [Wallet payment is fully secure.]","Please check the box on your experience on security part. [Confidence on transaction is high and identical to the cash transaction.]","Please check the box on your experience on security part. [Statement provided by the company is thorough and accurate.]","Please check the box on your experience on security part. [Mobile payment service is fully reliable.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a dynamic company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a creative company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is an innovative company.]","Please check the box based on your experience towards the speed. [Fund transfer time is very quick.]","Please check the box based on your experience towards the speed. [Initial log in period is much quicker.]","Please check the box based on your experience towards the speed. [Fund loading from the bank takes very low time. ]","How likely are you to  [Use mobile payment service with us again.]","How likely are you to  [Recommend our payment service to others.]","How likely are you to  [Recommend our company to others.]","How likely are you to  [Favour in the future.]","After the use of mobile payment services of F1 Soft  [I learned a lot from using mobile payment service of the F1 Soft.]","After the use of mobile payment services of F1 Soft  [Makes me feel good]","After the use of mobile payment services of F1 Soft  [Makes me feel enthusiastic.]","After the use of mobile payment services of F1 Soft  [I consider myself as a member of users of F1 Soft service.]","Use of mobile payment service of F1 Soft is fully satisfying.","On a scale of 1 to 100 please rate your overall level of satisfaction on using mobile payment service of the company."
"2022/04/23 8:08:00 PM GMT+5:45","agree","Female","22","Kathmandu","Bachelor","Student","7 months to 12 months","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Very likely","Likely","Likely","Likely","Disagree","Disagree","Disagree","Disagree","Yes","80"
"2022/04/23 8:09:36 PM GMT+5:45","agree","Female","20","Kathmandu","Bachelor","Student","Less than 3 months","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Likely","Likely","Somewhat likely","Somewhat likely","Neutral","Agree","Agree","Neutral","Yes","6"
"2022/04/23 8:09:41 PM GMT+5:45","agree","Female","19","Bhaktapur","Plus 2 / Intermediate","Student","Less than 3 months","Somewhat agree","Somewhat agree","Neutral","Somewhat disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Neutral","Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Neutral","Agree","Agree","Agree","Yes","60"
"2022/04/23 8:09:52 PM GMT+5:45","agree","male","22","Sarlahi","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Neutral","Strongly disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Likely","Very likely","Likely","Likely","Strongly Agree","Strongly Agree","Neutral","Agree","Yes","10"
"2022/04/23 8:10:43 PM GMT+5:45","agree","male","21","Bhaktapur","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Somewhat agree","Neutral","Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Unlikely;Somewhat likely","Unlikely","Unlikely","Somewhat likely","Agree","Neutral","Neutral","Neutral","No","50"
"2022/04/23 8:11:51 PM GMT+5:45","agree","Female","22","Kathmandu","Bachelor","Student","13 months to 2 years","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","90"
"2022/04/23 8:13:04 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","3 months to 6 months","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Disagree","Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","No","50"
"2022/04/23 8:14:00 PM GMT+5:45","agree","male","20","Kathmandu","Bachelor","Student","2 years more","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Agree","Strongly Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","80"
"2022/04/23 8:14:41 PM GMT+5:45","agree","Female","18","Kathmandu","Bachelor","Student","3 months to 6 months","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Neutral","Yes","85"
"2022/04/23 8:14:58 PM GMT+5:45","agree","male","22","Saptari","Plus 2 / Intermediate","Student","7 months to 12 months","Strongly agree","Neutral","Somewhat agree","Strongly disagree","Agree","Neutral;Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral;Agree","Agree","Agree","Agree","Neutral","Neutral;Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Neutral","Neutral;Agree","Agree","Neutral","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Agree","Agree","Agree","Agree","Yes","9"
"2022/04/23 8:15:17 PM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","7 months to 12 months","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Disagree","Agree","Agree","Disagree","Likely","Somewhat likely","Somewhat likely","Likely","Agree","Agree","Neutral","Agree","Yes","70"
"2022/04/23 8:18:45 PM GMT+5:45","agree","Female","25","Kathmandu","Bachelor","Student","7 months to 12 months","Neutral","Neutral","Somewhat agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Disagree","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Agree","Agree","Agree","Agree","Yes","80"
"2022/04/23 8:19:12 PM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","Less than 3 months","Somewhat agree","Somewhat agree","Neutral","Somewhat disagree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Likely","Agree","Agree","Agree","Agree","Yes","75"
"2022/04/23 8:21:15 PM GMT+5:45","agree","male","22","Kathmandu","Bachelor","Student","7 months to 12 months","Somewhat agree","Neutral","Neutral","Somewhat disagree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Disagree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Neutral","Neutral","Yes","69"
"2022/04/23 8:23:39 PM GMT+5:45","agree","Female","28","Kathmandu","Bachelor","Student","Less than 3 months","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","90"
"2022/04/23 8:24:47 PM GMT+5:45","agree","male","23","Bhaktapur","Bachelor","Student","13 months to 2 years","Strongly agree","Strongly agree","Neutral","Somewhat agree","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","76"
"2022/04/23 8:26:24 PM GMT+5:45","agree","male","28","Kathmandu","Masters and above","Other","2 years more","Neutral","Neutral","Somewhat disagree","Somewhat agree","Agree","Neutral","Disagree","Neutral","Agree","Agree","Disagree","Agree","Disagree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Somewhat likely","Likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","65"
"2022/04/23 8:26:59 PM GMT+5:45","agree","Female","22","Kathmandu","Bachelor","Student","2 years more","Neutral","Strongly disagree","Somewhat agree","Somewhat disagree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Likely","Somewhat likely","Somewhat likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","15"
"2022/04/23 8:28:34 PM GMT+5:45","agree","male","24","Gulmi","Bachelor","Business","2 years more","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Agree","Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly disagree","Yes","999"
"2022/04/23 8:29:30 PM GMT+5:45","agree","male","23","Kathmandu","Bachelor","Student","2 years more","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Very likely","Very likely","Very likely","Likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","85"
"2022/04/23 8:30:53 PM GMT+5:45","agree","male","26","Lalitpur","Bachelor","Student","2 years more","Somewhat agree","Somewhat agree","Somewhat disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Likely","Very likely","Very likely","Very likely","Agree","Agree","Agree","Agree","No","60"
"2022/04/23 8:31:03 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","13 months to 2 years","Neutral","Neutral","Neutral","Somewhat disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","90"
"2022/04/23 8:33:49 PM GMT+5:45","agree","male","30","Kathmandu","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Very likely","Very likely","Somewhat likely","Somewhat likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","90"
"2022/04/23 8:35:09 PM GMT+5:45","agree","Female","20","Kathmandu","Bachelor","Student","7 months to 12 months","Neutral","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Likely","Somewhat likely","Agree","Agree","Neutral","Agree","Yes","75"
"2022/04/23 8:37:18 PM GMT+5:45","agree","Female","22","Kathmandu","Bachelor","Student","3 months to 6 months","Neutral","Neutral","Somewhat disagree","Strongly disagree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Disagree","Likely","Likely","Somewhat likely","Somewhat likely","Agree","Neutral","Agree","Neutral","Yes","80"
"2022/04/23 8:37:58 PM GMT+5:45","agree","Female","23","Kathmandu","Bachelor","Student","2 years more","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Disagree","","","","","","","","","Yes","70"
"2022/04/23 8:41:21 PM GMT+5:45","agree","male","23","Sunsari","Bachelor","Other","13 months to 2 years","Neutral","Neutral","Somewhat disagree","Strongly disagree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Very likely","Likely","Likely","Somewhat likely","Strongly Agree","Agree","Agree","Agree","Yes","90"
"2022/04/23 8:45:43 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","13 months to 2 years","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Very likely","Very likely","Likely","Very likely","Agree","Neutral","Agree","Neutral","Yes","90"
"2022/04/23 8:46:16 PM GMT+5:45","agree","male","22","Kathmandu","Bachelor","Student","13 months to 2 years","Somewhat agree","Neutral","Neutral","Somewhat disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Likely","Somewhat likely","Likely","Likely","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Yes","85"
"2022/04/23 8:47:11 PM GMT+5:45","agree","male","20","Lalitpur","Bachelor","Student","Less than 3 months","Neutral","Neutral","Somewhat disagree","Strongly disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Very likely","Likely","Likely","Likely","Agree","Agree","Agree","","Yes","80"
"2022/04/23 8:49:23 PM GMT+5:45","agree","male","25","Bhaktapur","Bachelor","Student","7 months to 12 months","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Neutral","Agree","Agree","Agree","Yes","90"
"2022/04/23 8:50:55 PM GMT+5:45","agree","Female","23","Lalitpur","Bachelor","Student","7 months to 12 months","Neutral","Neutral","Somewhat agree","Somewhat agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Somewhat likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","No","55"
"2022/04/23 8:58:09 PM GMT+5:45","agree","male","22","Kathmandu","Bachelor","Student","7 months to 12 months","Neutral","Somewhat disagree","Somewhat disagree","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Disagree","No","70"
"2022/04/23 9:00:13 PM GMT+5:45","agree","male","32","Rupandehi","Masters and above","Business","2 years more","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Disagree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Very likely","Very likely","Very likely","Very likely","Agree","Strongly Agree","Strongly Agree","Agree","Yes","83"
"2022/04/23 9:04:30 PM GMT+5:45","agree","male","23","Bhaktapur","Bachelor","Student","2 years more","Strongly agree","Neutral","Neutral","Somewhat disagree","Strongly Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Likely","Very likely","Very likely","Very likely","Agree","Agree","Agree","Agree","Yes","50"
"2022/04/23 9:07:32 PM GMT+5:45","agree","Female","20","Kathmandu","Bachelor","Student","7 months to 12 months","Somewhat disagree","Neutral","Neutral","Somewhat disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Likely","Somewhat likely","Somewhat likely","Likely","Agree","Agree","Neutral","Neutral","Yes","70"
"2022/04/23 9:11:32 PM GMT+5:45","agree","Female","20","Bhaktapur","Bachelor","Student","13 months to 2 years","Strongly disagree","Strongly disagree","Neutral","Somewhat disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Very unlikely","Very unlikely","Very unlikely","Somewhat likely","Strongly disagree","Neutral","Neutral","Neutral","Yes","90"
"2022/04/23 9:11:57 PM GMT+5:45","agree","male","20","Baitadi","Bachelor","Student","13 months to 2 years","Strongly agree","Somewhat agree","Neutral","Somewhat agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Somewhat likely","Likely","Somewhat likely","Likely","Agree","Agree","Strongly Agree","Neutral","No","78"
"2022/04/23 9:13:33 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","7 months to 12 months","Somewhat agree","Strongly agree","Neutral","Somewhat agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Likely","Likely","Likely","Likely","Disagree","Neutral","Neutral","Neutral","Yes","70"
"2022/04/23 9:21:20 PM GMT+5:45","agree","male","24","Kathmandu","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Likely","Likely","Likely","Very likely","Agree","Neutral","Neutral","Neutral","Yes","75"
"2022/04/23 9:21:38 PM GMT+5:45","agree","male","20","Baitadi","Bachelor","Student","13 months to 2 years","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Likely","Very likely","Likely","Likely","Agree","Strongly Agree","Agree","Neutral","Yes","84"
"2022/04/23 9:24:06 PM GMT+5:45","agree","male","25","Kathmandu","Masters and above","Student","2 years more","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Likely","Very likely","Very likely","Likely","Agree","Strongly Agree","Agree","Agree","Yes","77"
"2022/04/23 9:24:18 PM GMT+5:45","agree","male","23","Baitadi","Plus 2 / Intermediate","Business","2 years more","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Neutral","Likely","Somewhat likely","Likely","Very likely","Agree","Strongly Agree","Strongly Agree","Agree","Yes","89"
"2022/04/23 9:25:01 PM GMT+5:45","agree","male","19","Kathmandu","Bachelor","Student","7 months to 12 months","Somewhat agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Likely","Very likely","Likely","Very likely","Agree","Agree","Agree","Agree","Yes","75"
"2022/04/23 9:25:17 PM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","Less than 3 months","Strongly agree","Somewhat agree","Somewhat agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Somewhat likely","Likely","Somewhat likely","Very likely","Agree","Neutral","Neutral","Neutral","Yes","70"
"2022/04/23 9:25:53 PM GMT+5:45","agree","male","22","Kathmandu","Bachelor","Student","13 months to 2 years","Somewhat agree","Somewhat agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Likely","Likely","Likely","Somewhat likely","Strongly Agree","Strongly Agree","Agree","Neutral","Yes","87"
